dump,era,intensity,qpage_share,q_per_page,genuine-UGC_share,genuine-UGC_per_qpage,genuine-UGC_per_page,manufactured-template_share,manufactured-template_per_qpage,manufactured-template_per_page,commerce-faq_share,commerce-faq_per_qpage,commerce-faq_per_page,editorial_share,editorial_per_qpage,editorial_per_page
2013-20,Baseline,2.435,0.184057,0.448179,0.0743,0.180921,0.0332997,0.1641,0.399583,0.0735461,0.0078,0.018993,0.00349579,0.1414,0.344309,0.0633725
2013-48,Baseline,2.352,0.182883,0.430141,0.097,0.228144,0.0417237,0.1614,0.379613,0.0694247,0.0094,0.0221088,0.00404332,0.1416,0.333043,0.0609079
2014-10,Baseline,2.362,0.182021,0.429934,0.1043,0.246357,0.0448421,0.1453,0.343199,0.0624694,0.0099,0.0233838,0.00425634,0.1367,0.322885,0.0587719
2014-15,Baseline,2.399,0.181329,0.435008,0.0955,0.229105,0.0415433,0.1449,0.347615,0.0630327,0.0094,0.0225506,0.00408908,0.1364,0.327224,0.0593351
2014-23,Baseline,2.353,0.177226,0.417013,0.1096,0.257889,0.0457046,0.1454,0.342126,0.0606337,0.0092,0.0216476,0.00383652,0.1433,0.337185,0.0597579
2014-35,Baseline,2.355,0.179687,0.423163,0.1024,0.241152,0.0433319,0.1434,0.337707,0.0606816,0.0086,0.020253,0.0036392,0.1447,0.340768,0.0612317
2014-41,Baseline,2.351,0.177632,0.417613,0.1,0.2351,0.0417613,0.1449,0.34066,0.0605121,0.0087,0.0204537,0.00363323,0.1478,0.347478,0.0617232
2014-42,Baseline,2.391,0.178322,0.426368,0.0903,0.215907,0.038501,0.1439,0.344065,0.0613543,0.0076,0.0181716,0.0032404,0.1484,0.354824,0.063273
2014-49,Baseline,2.392,0.179085,0.428371,0.0842,0.201406,0.0360689,0.1378,0.329618,0.0590296,0.0073,0.0174616,0.00312711,0.1521,0.363823,0.0651553
2014-52,Baseline,2.342,0.179032,0.419293,0.1002,0.234668,0.0420132,0.141,0.330222,0.0591203,0.0089,0.0208438,0.00373171,0.1529,0.358092,0.0641099
2015-06,Baseline,2.358,0.178851,0.421731,0.091,0.214578,0.0383775,0.1391,0.327998,0.0586627,0.0089,0.0209862,0.0037534,0.1636,0.385769,0.0689951
2015-11,Baseline,2.375,0.18194,0.432107,0.0919,0.218262,0.0397107,0.1414,0.335825,0.0611,0.009,0.021375,0.00388897,0.1502,0.356725,0.0649025
2015-14,Baseline,2.387,0.181479,0.43319,0.0889,0.212204,0.0385106,0.1399,0.333941,0.0606033,0.0086,0.0205282,0.00372544,0.1514,0.361392,0.065585
2015-18,Baseline,2.37,0.179247,0.424815,0.0952,0.225624,0.0404424,0.1415,0.335355,0.0601114,0.0099,0.023463,0.00420567,0.1502,0.355974,0.0638073
2015-22,Baseline,2.377,0.181597,0.431656,0.0911,0.216545,0.0393239,0.1419,0.337296,0.061252,0.0095,0.0225815,0.00410073,0.1502,0.357025,0.0648347
2015-27,Baseline,2.381,0.182451,0.434416,0.0906,0.215719,0.0393581,0.1375,0.327387,0.0597322,0.0091,0.0216671,0.00395318,0.1526,0.363341,0.0662919
2015-32,Baseline,2.377,0.183182,0.435424,0.091,0.216307,0.0396235,0.1376,0.327075,0.0599143,0.0091,0.0216307,0.00396235,0.1524,0.362255,0.0663586
2015-35,Baseline,2.371,0.18214,0.431854,0.0912,0.216235,0.0393851,0.1374,0.325775,0.0593367,0.009,0.021339,0.00388669,0.1522,0.360866,0.0657282
2015-40,Baseline,2.386,0.182448,0.435321,0.0904,0.215694,0.039353,0.1304,0.311134,0.0567658,0.0082,0.0195652,0.00356963,0.1538,0.366967,0.0669524
2015-48,Baseline,2.376,0.184001,0.437186,0.0907,0.215503,0.0396528,0.137,0.325512,0.0598945,0.009,0.021384,0.00393468,0.1548,0.367805,0.0676765
2016-07,Answer-engine-SEO,2.387,0.184607,0.440657,0.09,0.21483,0.0396591,0.1365,0.325826,0.0601497,0.0091,0.0217217,0.00400998,0.1566,0.373804,0.0690069
2016-18,Answer-engine-SEO,2.386,0.185148,0.441763,0.0892,0.212831,0.0394053,0.131,0.312566,0.057871,0.0094,0.0224284,0.00415257,0.1595,0.380567,0.0704612
2016-22,Answer-engine-SEO,2.393,0.184217,0.440831,0.0847,0.202687,0.0373384,0.1331,0.318508,0.0586746,0.0096,0.0229728,0.00423198,0.1563,0.374026,0.0689019
2016-26,Answer-engine-SEO,2.401,0.182276,0.437645,0.088,0.211288,0.0385127,0.1242,0.298204,0.0543555,0.0096,0.0230496,0.00420139,0.1702,0.40865,0.0744871
2016-30,Answer-engine-SEO,2.389,0.184713,0.441279,0.0895,0.213815,0.0394945,0.1356,0.323948,0.0598375,0.0101,0.0241289,0.00445692,0.1544,0.368862,0.0681335
2016-36,Answer-engine-SEO,2.406,0.184791,0.444607,0.0831,0.199939,0.0369469,0.1362,0.327697,0.0605555,0.01,0.02406,0.00444607,0.155,0.37293,0.0689141
2016-40,Answer-engine-SEO,2.393,0.184189,0.440764,0.0745,0.178278,0.0328369,0.1411,0.337652,0.0621918,0.008,0.019144,0.00352611,0.1561,0.373547,0.0688033
2016-44,Answer-engine-SEO,2.282,0.1754,0.400263,0.1054,0.240523,0.0421877,0.1486,0.339105,0.0594791,0.0086,0.0196252,0.00344226,0.135,0.30807,0.0540355
2016-50,Answer-engine-SEO,2.303,0.177198,0.408087,0.0826,0.190228,0.033708,0.151,0.347753,0.0616211,0.0084,0.0193452,0.00342793,0.1441,0.331862,0.0588053
2017-04,Answer-engine-SEO,2.328,0.177249,0.412636,0.0813,0.189266,0.0335473,0.1551,0.361073,0.0639998,0.0086,0.0200208,0.00354867,0.1396,0.324989,0.0576039
2017-09,Answer-engine-SEO,2.352,0.182279,0.42872,0.0713,0.167698,0.0305678,0.1608,0.378202,0.0689382,0.0088,0.0206976,0.00377274,0.151,0.355152,0.0647368
2017-13,Answer-engine-SEO,2.388,0.191863,0.458169,0.0531,0.126803,0.0243288,0.1767,0.42196,0.0809584,0.0084,0.0200592,0.00384862,0.179,0.427452,0.0820122
2017-17,Answer-engine-SEO,2.418,0.193458,0.467781,0.0459,0.110986,0.0214712,0.178,0.430404,0.0832651,0.0081,0.0195858,0.00378903,0.1986,0.480215,0.0929014
2017-22,Answer-engine-SEO,2.404,0.194396,0.467328,0.0393,0.0944772,0.018366,0.1654,0.397622,0.077296,0.0092,0.0221168,0.00429942,0.1953,0.469501,0.0912692
2017-26,Answer-engine-SEO,2.39,0.201515,0.481621,0.0303,0.072417,0.0145931,0.1752,0.418728,0.08438,0.009,0.02151,0.00433459,0.2023,0.483497,0.0974319
2017-30,Answer-engine-SEO,2.408,0.197955,0.476676,0.0316,0.0760928,0.015063,0.1684,0.405507,0.0802722,0.0089,0.0214312,0.00424241,0.186,0.447888,0.0886617
2017-34,Answer-engine-SEO,2.335,0.197892,0.462078,0.032,0.07472,0.0147865,0.1754,0.409559,0.0810484,0.0094,0.021949,0.00434353,0.2221,0.518603,0.102627
2017-39,Answer-engine-SEO,2.385,0.196938,0.469697,0.0335,0.0798975,0.0157349,0.1723,0.410936,0.0809288,0.0097,0.0231345,0.00455606,0.1869,0.445756,0.0877864
