dump,gini,top10_share,top100_share,total
2013-20,0.893,0.0262,0.0857,96480861
2013-48,0.9222,0.0413,0.1255,94778049
2014-10,0.9242,0.0371,0.1221,93081930
2014-15,0.9181,0.0292,0.1039,87169967
2014-23,0.9252,0.0282,0.1138,97739931
2014-35,0.9228,0.024,0.1072,91579121
2014-41,0.9235,0.0251,0.1127,93415975
2014-42,0.917,0.0196,0.0937,85609597
2014-49,0.9149,0.0207,0.0959,73463236
2014-52,0.9266,0.0281,0.1207,88741725
2015-06,0.926,0.0278,0.1182,81510838
2015-11,0.9229,0.032,0.1195,84136451
2015-14,0.9204,0.03,0.1156,78316251
2015-18,0.9268,0.0378,0.1313,89139856
2015-22,0.926,0.0369,0.1292,87971960
2015-27,0.9231,0.0355,0.1262,78055406
2015-32,0.9254,0.0379,0.13,82175060
2015-35,0.9249,0.0364,0.1283,82464320
2015-40,0.9199,0.0348,0.125,65239983
2015-48,0.9253,0.0396,0.1346,81673758
2016-07,0.9253,0.036,0.131,79170189
2016-18,0.9218,0.0311,0.121,69275053
2016-22,0.9208,0.032,0.1201,70645456
2016-26,0.9224,0.0365,0.1367,57552050
2016-30,0.9276,0.0436,0.1406,78558112
2016-36,0.9214,0.0393,0.1277,76668122
2016-40,0.9277,0.0339,0.1224,88291738
2016-44,0.9388,0.0285,0.1201,106512962
2016-50,0.9354,0.0322,0.1254,102827876
2017-04,0.9305,0.028,0.1183,110147136
2017-09,0.9081,0.0283,0.1034,118542114
2017-13,0.8832,0.0214,0.0771,146847014
2017-17,0.8674,0.0192,0.0718,152010111
2017-22,0.8616,0.0285,0.0873,113898376
2017-26,0.8384,0.0205,0.0669,132662922
2017-30,0.8462,0.0229,0.0781,114661092
2017-34,0.8395,0.0211,0.0713,134145030
2017-39,0.8399,0.0219,0.071,116366783
2017-43,0.8415,0.0197,0.0622,144039048
2017-47,0.8409,0.0187,0.0651,117885858
2017-51,0.8344,0.0221,0.0643,117314299
2018-05,0.8427,0.0178,0.0615,127476823
2018-09,0.8369,0.0161,0.0554,127540247
2018-13,0.8425,0.018,0.0591,122952702
2018-17,0.8419,0.0195,0.0664,111675925
2018-22,0.8324,0.0157,0.059,102269121
2018-26,0.8378,0.018,0.0622,120182775
2018-30,0.8355,0.0156,0.0521,131843654
2018-34,0.8349,0.0184,0.0626,101221340
2018-39,0.8417,0.0183,0.062,107291967
2018-43,0.8424,0.0174,0.0603,113407799
2018-47,0.8392,0.0141,0.0543,105866281
2018-51,0.8329,0.0112,0.0467,124841292
2019-04,0.834,0.0114,0.0448,112222862
2019-09,0.8205,0.0073,0.0321,122692373
2019-13,0.822,0.0091,0.0344,108171347
2019-18,0.8179,0.007,0.0325,112347586
2019-22,0.8218,0.0122,0.038,113623609
2019-26,0.8182,0.0103,0.0343,109489393
2019-30,0.8216,0.0117,0.0358,110621087
2019-35,0.8215,0.0099,0.0351,121172782
2019-39,0.823,0.0118,0.0364,104655062
2019-43,0.8275,0.0107,0.0379,110998064
2019-47,0.8204,0.009,0.0314,105799812
2019-51,0.821,0.01,0.0348,94897208
2020-05,0.8217,0.0067,0.0262,131311192
2020-10,0.8166,0.0072,0.0308,95884952
2020-16,0.8135,0.0053,0.0224,124216507
2020-24,0.8178,0.0059,0.0263,106365952
2020-29,0.8256,0.0068,0.0249,134209104
2020-34,0.8171,0.0103,0.0317,101653493
2020-40,0.8433,0.0057,0.0238,154976762
2020-45,0.841,0.0092,0.0328,117114699
2020-50,0.8379,0.0063,0.0292,117769049
2021-04,0.8451,0.0064,0.0263,161334586
2021-10,0.8471,0.0076,0.0312,131296289
2021-17,0.8471,0.0057,0.0256,159912258
2021-21,0.8445,0.0075,0.0331,126657528
2021-25,0.8429,0.0082,0.0406,118942916
2021-31,0.8506,0.0049,0.024,175450198
2021-39,0.8491,0.0076,0.0311,148281785
2021-43,0.8577,0.0047,0.0231,178863503
2021-49,0.8518,0.0093,0.0376,118321784
2022-05,0.8518,0.0069,0.0273,154955457
2022-21,0.851,0.0059,0.0243,192110009
2022-27,0.8557,0.0061,0.0263,171152730
2022-33,0.8584,0.0103,0.0377,125888315
2022-40,0.8568,0.0062,0.0261,188190779
2022-49,0.8576,0.0059,0.0254,192954810
2023-06,0.8567,0.0063,0.0258,192132722
2023-14,0.8595,0.006,0.0244,194966503
2023-23,0.8552,0.0065,0.0227,206478808
2023-40,0.8515,0.0067,0.0235,204089230
2023-50,0.8517,0.0077,0.0247,193079795
2024-10,0.8441,0.0061,0.0238,179747764
2024-18,0.8425,0.0079,0.0272,159912254
2024-22,0.8435,0.0079,0.0287,151705061
2024-26,0.8419,0.0077,0.0281,150448327
2024-30,0.8358,0.0067,0.0277,135049876
2024-33,0.838,0.0068,0.0302,118402692
2024-38,0.8385,0.0064,0.0254,152536727
2024-42,0.8374,0.0078,0.0309,129118662
2024-46,0.8366,0.0077,0.0285,142012748
2024-51,0.8304,0.0093,0.0297,106735268
2025-05,0.838,0.0063,0.0229,167669554
2025-08,0.8401,0.0091,0.029,141334443
2025-13,0.8385,0.0081,0.0271,144841406
2025-18,0.8371,0.007,0.0257,151726465
2025-21,0.8376,0.0075,0.0273,137754627
2025-26,0.8396,0.0083,0.0309,124556759
