dump,era,conversational-fragment,context-dependent,self-contained,n
2013-20,Baseline,0.371650,0.139950,0.488400,20000
2013-48,Baseline,0.360600,0.137800,0.501600,20000
2014-10,Baseline,0.367850,0.135550,0.496600,20000
2014-15,Baseline,0.356900,0.143650,0.499450,20000
2014-23,Baseline,0.379450,0.140150,0.480400,20000
2014-35,Baseline,0.376000,0.130050,0.493950,20000
2014-41,Baseline,0.350950,0.143100,0.505950,20000
2014-42,Baseline,0.344800,0.136950,0.518250,20000
2014-49,Baseline,0.366600,0.140550,0.492850,20000
2014-52,Baseline,0.368250,0.137250,0.494500,20000
2015-06,Baseline,0.360750,0.141700,0.497550,20000
2015-11,Baseline,0.354150,0.138350,0.507500,20000
2015-14,Baseline,0.366900,0.144500,0.488600,20000
2015-18,Baseline,0.349850,0.147100,0.503050,20000
2015-22,Baseline,0.363550,0.137400,0.499050,20000
2015-27,Baseline,0.360650,0.144400,0.494950,20000
2015-32,Baseline,0.382750,0.137600,0.479650,20000
2015-35,Baseline,0.358650,0.140450,0.500900,20000
2015-40,Baseline,0.343300,0.146900,0.509800,20000
2015-48,Baseline,0.361200,0.139900,0.498900,20000
2016-07,Answer-engine-SEO,0.355450,0.142750,0.501800,20000
2016-18,Answer-engine-SEO,0.364550,0.144150,0.491300,20000
2016-22,Answer-engine-SEO,0.363100,0.130550,0.506350,20000
2016-26,Answer-engine-SEO,0.357450,0.143850,0.498700,20000
2016-30,Answer-engine-SEO,0.350800,0.147450,0.501750,20000
2016-36,Answer-engine-SEO,0.354550,0.143400,0.502050,20000
2016-40,Answer-engine-SEO,0.354200,0.130450,0.515350,20000
2016-44,Answer-engine-SEO,0.358300,0.149800,0.491900,20000
2016-50,Answer-engine-SEO,0.373300,0.134450,0.492250,20000
2017-04,Answer-engine-SEO,0.347150,0.123600,0.529250,20000
2017-09,Answer-engine-SEO,0.381900,0.131950,0.486150,20000
2017-13,Answer-engine-SEO,0.389200,0.130900,0.479900,20000
2017-17,Answer-engine-SEO,0.381850,0.128050,0.490100,20000
2017-22,Answer-engine-SEO,0.392150,0.131200,0.476650,20000
2017-26,Answer-engine-SEO,0.384700,0.134650,0.480650,20000
2017-30,Answer-engine-SEO,0.394750,0.130200,0.475050,20000
2017-34,Answer-engine-SEO,0.391750,0.131950,0.476300,20000
2017-39,Answer-engine-SEO,0.395500,0.127500,0.477000,20000
2017-43,Answer-engine-SEO,0.392050,0.132150,0.475800,20000
2017-47,Answer-engine-SEO,0.401100,0.127000,0.471900,20000
2017-51,Answer-engine-SEO,0.392400,0.131450,0.476150,20000
2018-05,Answer-engine-SEO,0.395050,0.128650,0.476300,20000
2018-09,Answer-engine-SEO,0.406300,0.117250,0.476450,20000
2018-13,Answer-engine-SEO,0.386450,0.133100,0.480450,20000
2018-17,Answer-engine-SEO,0.382850,0.110150,0.507000,20000
2018-22,Answer-engine-SEO,0.394600,0.116400,0.489000,20000
2018-26,Answer-engine-SEO,0.411100,0.123650,0.465250,20000
2018-30,Answer-engine-SEO,0.392100,0.125000,0.482900,20000
2018-34,Answer-engine-SEO,0.417000,0.113400,0.469600,20000
2018-39,Answer-engine-SEO,0.408800,0.113950,0.477250,20000
2018-43,Answer-engine-SEO,0.396350,0.115650,0.488000,20000
2018-47,Answer-engine-SEO,0.409200,0.115150,0.475650,20000
2018-51,Answer-engine-SEO,0.413000,0.110900,0.476100,20000
2019-04,Answer-engine-SEO,0.418250,0.111950,0.469800,20000
2019-09,Answer-engine-SEO,0.413000,0.112650,0.474350,20000
2019-13,Answer-engine-SEO,0.412650,0.114200,0.473150,20000
2019-18,Answer-engine-SEO,0.429300,0.116850,0.453850,20000
2019-22,Answer-engine-SEO,0.433550,0.110850,0.455600,20000
2019-26,Answer-engine-SEO,0.409350,0.113400,0.477250,20000
2019-30,Answer-engine-SEO,0.409900,0.108950,0.481150,20000
2019-35,Answer-engine-SEO,0.419400,0.106300,0.474300,20000
2019-39,Answer-engine-SEO,0.417800,0.118700,0.463500,20000
2019-43,Answer-engine-SEO,0.413500,0.110650,0.475850,20000
2019-47,Answer-engine-SEO,0.415200,0.107150,0.477650,20000
2019-51,Answer-engine-SEO,0.411750,0.119150,0.469100,20000
2020-05,COVID,0.420800,0.104800,0.474400,20000
2020-10,COVID,0.404350,0.112350,0.483300,20000
2020-16,COVID,0.410550,0.109150,0.480300,20000
2020-24,COVID,0.405350,0.116250,0.478400,20000
2020-29,COVID,0.452750,0.109000,0.438250,20000
2020-34,COVID,0.409050,0.110750,0.480200,20000
2020-40,COVID,0.406650,0.114950,0.478400,20000
2020-45,COVID,0.395300,0.107550,0.497150,20000
2020-50,COVID,0.401750,0.104150,0.494100,20000
2021-04,COVID,0.397150,0.101650,0.501200,20000
2021-10,COVID,0.384450,0.108500,0.507050,20000
2021-17,COVID,0.399650,0.104350,0.496000,20000
2021-21,COVID,0.417400,0.103600,0.479000,20000
2021-25,COVID,0.390850,0.094750,0.514400,20000
2021-31,COVID,0.430650,0.095150,0.474200,20000
2021-39,COVID,0.380300,0.107150,0.512550,20000
2021-43,COVID,0.392150,0.102650,0.505200,20000
2021-49,COVID,0.367500,0.101250,0.531250,20000
2022-05,COVID,0.374700,0.108150,0.517150,20000
2022-21,COVID,0.390800,0.102300,0.506900,20000
2022-27,COVID,0.379300,0.101750,0.518950,20000
2022-33,COVID,0.380100,0.095250,0.524650,20000
2022-40,COVID,0.392250,0.098450,0.509300,20000
2022-49,Early-AI,0.387900,0.094800,0.517300,20000
