dump,intensity,dup_d2,dup_d5,dup_d10,forum_host,forum_regdomain,forum_host_allowlist,forum_host_pattern,forum_host_union
2013-20,2.435,0.1735,0.0889,0.0642,0.0291,0.0168,0.0291,0.0596,0.0748
2013-48,2.352,0.1745,0.0783,0.0597,0.0402,0.0271,0.0402,0.0738,0.0972
2014-10,2.362,0.1661,0.0883,0.0612,0.0512,0.0367,0.0512,0.0712,0.1044
2014-15,2.399,0.1656,0.0874,0.0592,0.0473,0.0328,0.0473,0.0652,0.0956
2014-23,2.353,0.1673,0.0877,0.0609,0.0532,0.0394,0.0532,0.0736,0.1096
2014-35,2.355,0.164,0.0865,0.0603,0.0478,0.0346,0.0478,0.0708,0.1024
2014-41,2.351,0.1614,0.0826,0.0605,0.0451,0.0316,0.0451,0.0716,0.1
2014-42,2.391,0.1585,0.0812,0.0594,0.0408,0.0272,0.0408,0.0658,0.0903
2014-49,2.392,0.1485,0.0747,0.057,0.037,0.0232,0.037,0.0636,0.0841
2014-52,2.342,0.1539,0.0786,0.0608,0.0462,0.0329,0.0462,0.0708,0.1002
2015-06,2.358,0.1508,0.0772,0.0595,0.0401,0.0271,0.0401,0.0676,0.0911
2015-11,2.375,0.153,0.0789,0.0608,0.0407,0.0263,0.0407,0.0688,0.0919
2015-14,2.387,0.151,0.0771,0.0592,0.0386,0.0249,0.0386,0.067,0.0889
2015-18,2.37,0.1539,0.0783,0.0597,0.0433,0.0301,0.0433,0.0687,0.0953
2015-22,2.377,0.1538,0.0782,0.0599,0.0413,0.0284,0.0413,0.066,0.0911
2015-27,2.381,0.1489,0.0759,0.0582,0.0402,0.0276,0.0402,0.0665,0.0907
2015-32,2.377,0.1494,0.0763,0.0581,0.0413,0.0284,0.0413,0.0661,0.091
2015-35,2.371,0.149,0.0758,0.058,0.0415,0.0285,0.0415,0.0665,0.0913
2015-40,2.386,0.1412,0.0723,0.0552,0.0403,0.0272,0.0403,0.0667,0.0904
2015-48,2.376,0.1483,0.076,0.0582,0.0413,0.0287,0.0413,0.0654,0.0907
2016-07,2.387,0.1478,0.0759,0.0581,0.0414,0.0293,0.0414,0.065,0.09
2016-18,2.386,0.1419,0.0719,0.0546,0.0413,0.0293,0.0413,0.0634,0.0893
