dump,n_panel_hosts,forum_allowlist_panel,forum_union_panel,top100_share_panel
2013-20,64054,0.0216,0.0792,0.2308
2013-48,69139,0.0286,0.0946,0.2727
2014-10,73446,0.0291,0.0876,0.264
2014-15,74250,0.0238,0.0779,0.2405
2014-23,76870,0.0272,0.0927,0.2664
2014-35,76602,0.0257,0.0873,0.2562
2014-41,77410,0.0273,0.0905,0.2616
2014-42,77562,0.0222,0.0803,0.2304
2014-49,76336,0.0205,0.0693,0.2311
2014-52,77482,0.0265,0.0798,0.2651
2015-06,76990,0.0243,0.0732,0.2471
2015-11,78625,0.0246,0.0757,0.2448
2015-14,78085,0.0232,0.0752,0.2423
2015-18,78994,0.0275,0.0823,0.2583
2015-22,79079,0.0272,0.0797,0.2553
2015-27,77799,0.0266,0.0825,0.2525
2015-32,78278,0.0268,0.0817,0.2556
2015-35,78640,0.027,0.0819,0.2531
2015-40,75380,0.0285,0.0835,0.2534
2015-48,78446,0.0284,0.0811,0.2625
2016-07,78100,0.026,0.0782,0.2624
2016-18,76420,0.0287,0.079,0.2559
2016-22,76342,0.0245,0.0727,0.2546
2016-26,66389,0.0262,0.072,0.2876
2016-30,77772,0.027,0.0798,0.2646
2016-36,78029,0.0284,0.0844,0.2493
2016-40,78105,0.0259,0.0742,0.2466
2016-44,77975,0.0377,0.1222,0.238
2016-50,76175,0.0361,0.0993,0.267
2017-04,76913,0.0343,0.1007,0.2527
2017-09,77896,0.0292,0.0916,0.2507
2017-13,76860,0.0267,0.0825,0.2311
2017-17,76548,0.0312,0.083,0.2257
2017-22,73703,0.0268,0.0781,0.2396
2017-26,74468,0.0261,0.0723,0.2416
2017-30,73303,0.0295,0.0756,0.2407
2017-34,74382,0.0283,0.0817,0.2709
2017-39,74623,0.0257,0.0829,0.2481
2017-43,75392,0.0271,0.0703,0.2258
2017-47,75108,0.0255,0.0673,0.2241
2017-51,73233,0.0266,0.0725,0.2389
2018-05,73580,0.0273,0.0699,0.2202
2018-09,76523,0.0232,0.0666,0.2158
2018-13,75636,0.0245,0.0707,0.2358
2018-17,77453,0.0214,0.0668,0.2281
2018-22,76632,0.0211,0.0622,0.2146
2018-26,77905,0.0188,0.0538,0.2049
2018-30,77697,0.0194,0.0566,0.2195
2018-34,77720,0.0179,0.051,0.2286
2018-39,77756,0.0197,0.0561,0.218
2018-43,78322,0.0197,0.0519,0.213
2018-47,77776,0.0164,0.0432,0.1971
2018-51,78918,0.0226,0.0477,0.1893
2019-04,78478,0.0158,0.0413,0.1797
2019-09,78774,0.015,0.0323,0.1305
2019-13,78231,0.0124,0.0294,0.138
2019-18,78282,0.013,0.0285,0.1245
2019-22,78527,0.0086,0.0243,0.1303
2019-26,78391,0.0105,0.0272,0.1229
2019-30,78099,0.0109,0.0282,0.1268
2019-35,78204,0.0118,0.0283,0.1304
2019-39,77648,0.0107,0.028,0.1373
2019-43,77658,0.0151,0.0358,0.1433
2019-47,77607,0.0115,0.0289,0.1175
2019-51,77323,0.0125,0.0303,0.1337
2020-05,78379,0.0089,0.0254,0.106
2020-10,77416,0.0132,0.0347,0.1236
2020-16,77985,0.009,0.027,0.1008
2020-24,77689,0.0147,0.034,0.1057
2020-29,78038,0.0129,0.0303,0.111
2020-34,77582,0.0123,0.0302,0.1265
2020-40,77753,0.013,0.0305,0.0931
2020-45,76786,0.0138,0.0344,0.124
2020-50,76451,0.0145,0.0336,0.1213
2021-04,77880,0.012,0.0294,0.1044
2021-10,76711,0.0132,0.0329,0.1199
2021-17,77903,0.0109,0.0295,0.1071
2021-21,76686,0.0137,0.0289,0.1227
2021-25,75953,0.0196,0.0405,0.1362
2021-31,77190,0.0101,0.0255,0.1041
2021-39,78270,0.0123,0.0279,0.1151
2021-43,78066,0.0103,0.0253,0.0984
2021-49,76305,0.0156,0.0359,0.131
2022-05,77516,0.0129,0.029,0.11
2022-21,77550,0.0156,0.0348,0.1092
2022-27,77493,0.0118,0.0262,0.1045
2022-33,75854,0.0152,0.0373,0.133
2022-40,74913,0.0098,0.0262,0.1099
2022-49,75501,0.0093,0.0234,0.0998
2023-06,75144,0.0094,0.0249,0.1035
2023-14,74794,0.0109,0.0261,0.0996
2023-23,74988,0.0094,0.0252,0.1011
2023-40,75736,0.0092,0.0249,0.0938
2023-50,77494,0.0104,0.0252,0.1006
2024-10,77534,0.0146,0.0325,0.0991
2024-18,77138,0.0167,0.036,0.1025
2024-22,76997,0.0134,0.0335,0.1053
2024-26,77062,0.0129,0.0324,0.1041
2024-30,76476,0.0135,0.0339,0.1107
2024-33,75800,0.0143,0.0394,0.1244
2024-38,75944,0.0128,0.0317,0.1009
2024-42,75887,0.0148,0.0389,0.1077
2024-46,75770,0.0152,0.0361,0.1089
2024-51,73982,0.0139,0.0327,0.1056
2025-05,75149,0.0139,0.0324,0.0967
2025-08,73943,0.0156,0.0348,0.1071
2025-13,72493,0.017,0.0355,0.1126
2025-18,72576,0.017,0.0376,0.114
2025-21,71557,0.0167,0.0412,0.1161
2025-26,68997,0.0175,0.0406,0.1247
