dump,type_wh,type_polar,type_tag,type_imperative-interrogative,type_elliptical,type_other,pct_first,pct_second,pct_impersonal,pct_scaffolded,mean_tokens,n
2013-20,0.7257,0.2453,0.0076,0.0091,0.0016,0.0107,0.2461,0.301,0.4528,0.0997,13.441,20000
2013-48,0.716,0.2549,0.0059,0.0094,0.0024,0.0114,0.2428,0.3023,0.4549,0.0961,13.487,20000
2014-10,0.7186,0.2524,0.0066,0.0101,0.0022,0.0101,0.2384,0.3026,0.459,0.0985,13.451,20000
2014-15,0.7196,0.249,0.0063,0.0092,0.0031,0.0127,0.2395,0.2928,0.4677,0.1021,13.283,20000
2014-23,0.7217,0.2478,0.0065,0.0108,0.0019,0.0113,0.2331,0.3082,0.4587,0.0973,13.466,20000
2014-35,0.726,0.2472,0.0057,0.0095,0.0018,0.0097,0.2389,0.3004,0.4607,0.0988,13.434,20000
2014-41,0.7196,0.2504,0.0062,0.0113,0.0024,0.0101,0.2327,0.3075,0.4598,0.0959,13.419,20000
2014-42,0.72,0.2506,0.0069,0.0103,0.0023,0.0098,0.2427,0.3142,0.4431,0.0998,13.371,20000
2014-49,0.7164,0.2537,0.0061,0.0106,0.0025,0.0107,0.2326,0.3098,0.4577,0.0953,13.254,20000
2014-52,0.7188,0.2516,0.0073,0.0092,0.0018,0.0112,0.2377,0.3048,0.4576,0.0984,13.532,20000
2015-06,0.7244,0.2469,0.0063,0.0095,0.0022,0.0108,0.2303,0.3105,0.4592,0.0993,13.246,20000
2015-11,0.7217,0.2509,0.0069,0.008,0.0018,0.0107,0.2377,0.3069,0.4555,0.103,13.41,20000
2015-14,0.7187,0.253,0.006,0.0097,0.0022,0.0106,0.2364,0.3013,0.4623,0.1006,13.351,20000
2015-18,0.7217,0.2501,0.0057,0.0102,0.0018,0.0105,0.2424,0.298,0.4595,0.0996,13.447,20000
2015-22,0.721,0.2512,0.0059,0.0089,0.0024,0.0106,0.2371,0.3039,0.4591,0.1008,13.584,20000
2015-27,0.7205,0.2518,0.0064,0.0089,0.0021,0.0103,0.2323,0.3063,0.4615,0.0997,13.474,20000
2015-32,0.7206,0.2517,0.006,0.0092,0.0019,0.0106,0.2336,0.3093,0.4571,0.1016,13.279,20000
2015-35,0.7254,0.2467,0.0066,0.0089,0.0024,0.01,0.2326,0.3045,0.4628,0.1034,13.333,20000
2015-40,0.7231,0.2477,0.0065,0.0094,0.0026,0.0107,0.2435,0.3044,0.4521,0.1007,13.456,20000
2015-48,0.7264,0.2449,0.0066,0.0103,0.0018,0.01,0.2441,0.3004,0.4556,0.1,13.383,20000
2016-07,0.7178,0.2543,0.0065,0.0092,0.0024,0.0097,0.2429,0.2922,0.4648,0.1029,13.332,20000
2016-18,0.7257,0.2475,0.0062,0.0089,0.0022,0.0094,0.2394,0.3019,0.4587,0.0993,13.448,20000
2016-22,0.7268,0.2442,0.0065,0.01,0.0016,0.0111,0.2404,0.3034,0.4563,0.0997,13.381,20000
2016-26,0.7178,0.2541,0.006,0.0086,0.0022,0.0112,0.238,0.3025,0.4595,0.0935,13.454,20000
2016-30,0.7181,0.2521,0.0068,0.0086,0.0028,0.0115,0.2444,0.2915,0.4642,0.1,13.313,20000
2016-36,0.7258,0.2473,0.0063,0.0092,0.0026,0.0087,0.2494,0.297,0.4536,0.1051,13.429,20000
2016-40,0.7247,0.2473,0.0068,0.0092,0.0026,0.0095,0.2362,0.3034,0.4605,0.1028,13.36,20000
2016-44,0.7132,0.2584,0.0063,0.0086,0.0022,0.0113,0.2414,0.3135,0.4451,0.0965,13.238,20000
2016-50,0.7242,0.2475,0.0059,0.0095,0.002,0.0109,0.234,0.3148,0.4512,0.099,13.302,20000
2017-04,0.7208,0.2511,0.0056,0.0102,0.0026,0.0097,0.2439,0.3114,0.4448,0.0998,13.245,20000
2017-09,0.721,0.2482,0.0063,0.01,0.002,0.0125,0.2452,0.3125,0.4423,0.1008,13.408,20000
2017-13,0.727,0.245,0.0067,0.0084,0.0022,0.0106,0.2474,0.3251,0.4275,0.1001,13.242,20000
2017-17,0.7265,0.2435,0.0064,0.0094,0.0021,0.0121,0.2492,0.3187,0.4321,0.0975,13.189,20000
2017-22,0.7326,0.2376,0.0076,0.0106,0.0021,0.0097,0.2525,0.3331,0.4144,0.097,13.185,20000
2017-26,0.7401,0.2314,0.0072,0.0104,0.0016,0.0094,0.2609,0.3312,0.4079,0.0945,13.219,20000
2017-30,0.7333,0.2387,0.0069,0.0091,0.0023,0.0097,0.2622,0.3263,0.4114,0.1039,13.092,20000
2017-34,0.7292,0.2427,0.0069,0.01,0.0021,0.0091,0.2677,0.3298,0.4024,0.1013,13.183,20000
