dump,scope,pclass,n_nq,n_occ,d_ge2_share
2015-40,head_top1000,unknown,203,586090,0.0
2015-40,head_top1000,manufactured-template,717,1147185,1.0
2015-40,head_top1000,genuine-UGC,63,119345,0.6825396825396826
2015-40,head_top1000,editorial,14,16463,0.0
2015-40,head_top1000,commerce-faq,3,4696,0.0
2015-40,dump_baseline,manufactured-template,1722031,8768843,1.0
2015-40,dump_baseline,commerce-faq,484916,534802,0.0
2015-40,dump_baseline,editorial,9307392,10024547,0.0
2015-40,dump_baseline,unknown,36711204,40268990,0.0
2015-40,dump_baseline,genuine-UGC,4895557,5642801,0.01736431625655671
2020-34,dump_baseline,commerce-faq,1314185,1529164,0.0
2020-34,dump_baseline,genuine-UGC,1896911,2057216,0.014731845616373146
2020-34,dump_baseline,unknown,65758285,71038306,0.0
2020-34,dump_baseline,manufactured-template,3234134,19591144,1.0
2020-34,dump_baseline,editorial,6980070,7437663,0.0
2020-34,head_top1000,manufactured-template,868,2098162,1.0
2020-34,head_top1000,commerce-faq,44,87149,0.0
2020-34,head_top1000,editorial,7,16141,0.0
2020-34,head_top1000,unknown,78,133865,0.0
2020-34,head_top1000,genuine-UGC,3,3088,1.0
2024-51,head_top1000,manufactured-template,932,1817955,1.0
2024-51,head_top1000,unknown,50,80621,0.0
2024-51,head_top1000,commerce-faq,7,13321,0.0
2024-51,head_top1000,editorial,8,9328,0.0
2024-51,head_top1000,genuine-UGC,3,4232,0.3333333333333333
2024-51,dump_baseline,genuine-UGC,1439847,1686018,0.032015207171317506
2024-51,dump_baseline,manufactured-template,3474860,18326099,1.0
2024-51,dump_baseline,unknown,74445699,78370538,0.0
2024-51,dump_baseline,editorial,6051930,6330219,0.0
2024-51,dump_baseline,commerce-faq,1910701,2022394,0.0
