rank,curve,mk_p,hr_p,q_value,bh_threshold,n_star,passes_bh
1,provenance commerce-faq,0,2.08948e-09,3.34317e-08,0.003125,25.1014,True
2,provenance unknown,0,6.73289e-08,5.38631e-07,0.00625,31.3597,True
3,rate manufactured-template,0,4.43109e-07,2.36325e-06,0.009375,24.0808,True
4,rate q,0,1.95598e-05,6.47015e-05,0.0125,12.1002,True
5,rate commerce-faq,0,2.02192e-05,6.47015e-05,0.015625,10.9758,True
6,intensity,0,9.95587e-05,0.00026549,0.01875,11.8359,True
7,provenance editorial,0,0.000980305,0.0022407,0.021875,12.5821,True
8,provenance genuine-UGC,0,0.00158663,0.00283608,0.025,9.1997,True
9,forum_host_union,0,0.0015953,0.00283608,0.028125,9.19045,True
10,forum_host_allowlist,0,0.00242321,0.00387714,0.03125,9.6941,True
11,rate genuine-UGC,0,0.0148617,0.0212778,0.034375,9.10255,True
12,rate editorial,1.40588e-11,0.0160705,0.0212778,0.0375,13.9608,True
13,dup_d2,4.68292e-12,0.0172882,0.0212778,0.040625,13.0367,True
14,provenance manufactured-template,7.46736e-13,0.0211108,0.0241266,0.04375,11.3763,True
15,dup_d5,2.16473e-10,0.0466339,0.0497428,0.046875,10.8018,True
16,dup_d10,1.84618e-09,0.0612475,0.0612475,0.05,10.666,False
