dump,n_occ,n_pages,intensity,share_d2,share_d5,share_d10
2013-20,96480861,39623993,2.435,0.1735,0.0889,0.0642
2013-48,94778049,40300482,2.352,0.1745,0.0783,0.0597
2014-10,93081930,39413761,2.362,0.1661,0.0883,0.0612
2014-15,87169967,36337769,2.399,0.1656,0.0874,0.0592
2014-23,97739931,41545762,2.353,0.1673,0.0877,0.0609
2014-35,91579121,38890947,2.355,0.164,0.0865,0.0603
2014-41,93415975,39731458,2.351,0.1614,0.0826,0.0605
2014-42,85609597,35811906,2.391,0.1585,0.0812,0.0594
2014-49,73463236,30706280,2.392,0.1485,0.0747,0.057
2014-52,88741725,37897535,2.342,0.1539,0.0786,0.0608
2015-06,81510838,34567111,2.358,0.1508,0.0772,0.0595
2015-11,84136451,35419959,2.375,0.153,0.0789,0.0608
2015-14,78316251,32812375,2.387,0.151,0.0771,0.0592
2015-18,89139856,37619190,2.37,0.1539,0.0783,0.0597
2015-22,87971960,37007381,2.377,0.1538,0.0782,0.0599
2015-27,78055406,32781282,2.381,0.1489,0.0759,0.0582
2015-32,82175060,34572556,2.377,0.1494,0.0763,0.0581
2015-35,82464320,34774976,2.371,0.149,0.0758,0.058
2015-40,65239983,27340020,2.386,0.1412,0.0723,0.0552
2015-48,81673758,34371374,2.376,0.1483,0.076,0.0582
2016-07,79170189,33171633,2.387,0.1478,0.0759,0.0581
2016-18,69275053,29039608,2.386,0.1419,0.0719,0.0546
2016-22,70645456,29515654,2.393,0.1433,0.0724,0.0556
2016-26,57552050,23970211,2.401,0.1341,0.0683,0.052
2016-30,78558112,32879603,2.389,0.1463,0.0747,0.0574
2016-36,76668122,31865323,2.406,0.1458,0.0747,0.0577
2016-40,88291738,36901352,2.393,0.1499,0.0767,0.0592
2016-44,106512962,46673923,2.282,0.1625,0.0839,0.063
2016-50,102827876,44645015,2.303,0.1616,0.084,0.0627
2017-04,110147136,47308430,2.328,0.1657,0.0865,0.066
2017-09,118542114,50410330,2.352,0.17,0.0894,0.0672
2017-13,146847014,61481036,2.388,0.1834,0.0974,0.0748
2017-17,152010111,62854235,2.418,0.1846,0.1005,0.0771
2017-22,113898376,47387613,2.404,0.1702,0.0937,0.0714
2017-26,132662922,55504723,2.39,0.179,0.1004,0.077
2017-30,114661092,47609044,2.408,0.1724,0.0951,0.0722
2017-34,134145030,57442073,2.335,0.1793,0.1007,0.0764
2017-39,116366783,48787773,2.385,0.1763,0.0982,0.0753
2017-43,144039048,60831174,2.368,0.1824,0.1024,0.0785
2017-47,117885858,49269585,2.393,0.18,0.1005,0.0761
2017-51,117314299,49702396,2.36,0.1773,0.1001,0.0758
2018-05,127476823,52944166,2.408,0.1845,0.1037,0.0789
2018-09,127540247,53216477,2.397,0.1903,0.1087,0.0822
2018-13,122952702,51464910,2.389,0.1845,0.104,0.0782
2018-17,111675925,46006349,2.427,0.1856,0.1069,0.0809
2018-22,102269121,42624020,2.399,0.1897,0.1106,0.0849
2018-26,120182775,49052672,2.45,0.1915,0.1147,0.0887
2018-30,131843654,55018511,2.396,0.1903,0.1121,0.0861
2018-34,101221340,41390117,2.446,0.1932,0.1157,0.0907
2018-39,107291967,44293907,2.422,0.1865,0.1094,0.0845
2018-43,113407799,46694126,2.429,0.201,0.1199,0.0934
2018-47,105866281,42650796,2.482,0.1981,0.1147,0.0877
2018-51,124841292,50640586,2.465,0.2052,0.1224,0.0944
2019-04,112222862,45925777,2.444,0.1996,0.1165,0.0896
2019-09,122692373,48879115,2.51,0.1986,0.1171,0.0913
2019-13,108171347,42964516,2.518,0.1922,0.1122,0.087
2019-18,112347586,44326106,2.535,0.1997,0.1204,0.0955
2019-22,113623609,45262254,2.51,0.1953,0.1142,0.0887
2019-26,109489393,43736300,2.503,0.1906,0.1112,0.0862
2019-30,110621087,44432377,2.49,0.1947,0.1147,0.0895
2019-35,121172782,48483072,2.499,0.1987,0.1181,0.0929
2019-39,104655062,41815578,2.503,0.1918,0.113,0.0887
2019-43,110998064,44081425,2.518,0.2013,0.1216,0.0967
2019-47,105799812,41827670,2.529,0.1971,0.117,0.0916
2019-51,94897208,37685536,2.518,0.1843,0.1066,0.0825
2020-05,131311192,51532974,2.548,0.1931,0.1129,0.0881
2020-10,95884952,38116158,2.516,0.1871,0.1089,0.0842
2020-16,124216507,48664706,2.552,0.1947,0.1138,0.0892
2020-24,106365952,42385550,2.509,0.1969,0.1179,0.0926
2020-29,134209104,52601562,2.551,0.1996,0.119,0.0933
2020-34,101653493,39636170,2.565,0.1938,0.1151,0.0903
2020-40,154976762,60723806,2.552,0.2189,0.1333,0.1044
2020-45,117114699,44572573,2.628,0.2204,0.1324,0.1016
2020-50,117769049,44730888,2.633,0.2219,0.1328,0.101
2021-04,161334586,60722634,2.657,0.232,0.136,0.1016
2021-10,131296289,48642684,2.699,0.2415,0.1413,0.1044
2021-17,159912258,59140492,2.704,0.2391,0.1366,0.1011
2021-21,126657528,46513809,2.723,0.2286,0.1275,0.0936
2021-25,118942916,43292585,2.747,0.2296,0.1255,0.0918
2021-31,175450198,64425803,2.723,0.2295,0.128,0.0947
2021-39,148281785,53736910,2.759,0.2203,0.1185,0.0873
2021-43,178863503,64097257,2.791,0.231,0.1246,0.0902
2021-49,118321784,41537245,2.849,0.217,0.1113,0.0796
2022-05,154955457,54777010,2.829,0.2192,0.113,0.0816
2022-21,192110009,69970985,2.746,0.2194,0.1191,0.0889
2022-27,171152730,61965577,2.762,0.2112,0.1129,0.0835
2022-33,125888315,44792693,2.81,0.2104,0.1096,0.0794
2022-40,188190779,66968219,2.81,0.2163,0.1172,0.0867
2022-49,192954810,68801218,2.805,0.2129,0.1153,0.0861
2023-06,192132722,68896626,2.789,0.2072,0.1125,0.084
2023-14,194966503,67613354,2.884,0.2077,0.1136,0.0849
2023-23,206478808,71939664,2.87,0.2021,0.1129,0.0851
2023-40,204089230,72474021,2.816,0.2065,0.1143,0.085
2023-50,193079795,69310781,2.786,0.206,0.1151,0.0864
2024-10,179747764,64277568,2.796,0.1951,0.1082,0.0812
2024-18,159912254,57037808,2.804,0.1883,0.1046,0.0791
2024-22,151705061,54425242,2.787,0.1858,0.1032,0.0783
2024-26,150448327,53806178,2.796,0.184,0.1018,0.0772
2024-30,135049876,48155320,2.804,0.1802,0.0988,0.075
2024-33,118402692,42379431,2.794,0.1763,0.0965,0.0727
2024-38,152536727,54426642,2.803,0.1841,0.1021,0.0777
2024-42,129118662,45873464,2.815,0.1779,0.0976,0.0744
2024-46,142012748,50454391,2.815,0.1815,0.1004,0.0766
2024-51,106735268,39306017,2.715,0.1738,0.0962,0.0724
2025-05,167669554,60132095,2.788,0.1891,0.1098,0.0851
2025-08,141334443,50073393,2.823,0.1966,0.1212,0.098
2025-13,144841406,52234716,2.773,0.1787,0.102,0.078
2025-18,151726465,54269051,2.796,0.1834,0.1071,0.0832
2025-21,137754627,49464367,2.785,0.1776,0.1022,0.0787
2025-26,124556759,44420464,2.804,0.1708,0.098,0.0752
