dump,genuine-UGC,manufactured-template,commerce-faq,editorial,unknown,genuine_binary,n
2013-20,0.0743,0.1641,0.0078,0.1414,0.6123,0.1918,96480861
2013-48,0.097,0.1614,0.0094,0.1416,0.5905,0.237,94778049
2014-10,0.1043,0.1453,0.0099,0.1367,0.6039,0.2633,93081930
2014-15,0.0955,0.1449,0.0094,0.1364,0.6138,0.2472,87169967
2014-23,0.1096,0.1454,0.0092,0.1433,0.5926,0.269,97739931
2014-35,0.1024,0.1434,0.0086,0.1447,0.601,0.2565,91579121
2014-41,0.1,0.1449,0.0087,0.1478,0.5986,0.2492,93415975
2014-42,0.0903,0.1439,0.0076,0.1484,0.6098,0.2314,85609597
2014-49,0.0842,0.1378,0.0073,0.1521,0.6187,0.2207,73463236
2014-52,0.1002,0.141,0.0089,0.1529,0.597,0.2486,88741725
2015-06,0.091,0.1391,0.0089,0.1636,0.5974,0.2261,81510838
2015-11,0.0919,0.1414,0.009,0.1502,0.6076,0.2341,84136451
2015-14,0.0889,0.1399,0.0086,0.1514,0.6112,0.2286,78316251
2015-18,0.0952,0.1415,0.0099,0.1502,0.6032,0.24,89139856
2015-22,0.0911,0.1419,0.0095,0.1502,0.6073,0.2319,87971960
2015-27,0.0906,0.1375,0.0091,0.1526,0.6102,0.2325,78055406
2015-32,0.091,0.1376,0.0091,0.1524,0.6098,0.2332,82175060
2015-35,0.0912,0.1374,0.009,0.1522,0.6102,0.234,82464320
2015-40,0.0904,0.1304,0.0082,0.1538,0.6171,0.236,65239983
2015-48,0.0907,0.137,0.009,0.1548,0.6085,0.2317,81673758
2016-07,0.09,0.1365,0.0091,0.1566,0.6078,0.2294,79170189
2016-18,0.0892,0.131,0.0094,0.1595,0.6108,0.2293,69275053
2016-22,0.0847,0.1331,0.0096,0.1563,0.6163,0.2206,70645456
2016-26,0.088,0.1242,0.0096,0.1702,0.6081,0.2245,57552050
2016-30,0.0895,0.1356,0.0101,0.1544,0.6104,0.2297,78558112
2016-36,0.0831,0.1362,0.01,0.155,0.6157,0.2161,76668122
2016-40,0.0745,0.1411,0.008,0.1561,0.6203,0.1963,88291738
2016-44,0.1054,0.1486,0.0086,0.135,0.6024,0.2652,106512962
2016-50,0.0826,0.151,0.0084,0.1441,0.6139,0.2139,102827876
2017-04,0.0813,0.1551,0.0086,0.1396,0.6154,0.2113,110147136
2017-09,0.0713,0.1608,0.0088,0.151,0.6081,0.182,118542114
2017-13,0.0531,0.1767,0.0084,0.179,0.5829,0.1272,146847014
2017-17,0.0459,0.178,0.0081,0.1986,0.5694,0.1065,152010111
2017-22,0.0393,0.1654,0.0092,0.1953,0.5907,0.0961,113898376
2017-26,0.0303,0.1752,0.009,0.2023,0.5831,0.0727,132662922
2017-30,0.0316,0.1684,0.0089,0.186,0.6051,0.0799,114661092
2017-34,0.032,0.1754,0.0094,0.2221,0.5611,0.0729,134145030
2017-39,0.0335,0.1723,0.0097,0.1869,0.5975,0.0833,116366783
2017-43,0.0298,0.1788,0.0101,0.205,0.5764,0.0704,144039048
2017-47,0.0301,0.1763,0.0095,0.1834,0.6007,0.0754,117885858
2017-51,0.0288,0.1739,0.0096,0.2066,0.5811,0.0688,117314299
2018-05,0.0292,0.1808,0.01,0.1538,0.6262,0.078,127476823
2018-09,0.029,0.1864,0.0107,0.1855,0.5885,0.0704,127540247
2018-13,0.0314,0.1804,0.0105,0.1794,0.5983,0.0782,122952702
2018-17,0.0332,0.1812,0.0112,0.1358,0.6386,0.0919,111675925
2018-22,0.0322,0.1852,0.0111,0.1686,0.6029,0.0811,102269121
