dump,editorial_shipped,editorial_pruned,faq_shipped,faq_pruned
2013-20,0.228518,0.218902,0.00595573,0.00310143
2014-10,0.200592,0.188948,0.00947356,0.00443019
2015-06,0.198657,0.187272,0.00643611,0.00367082
2016-07,0.215495,0.203921,0.00751879,0.00541379
2017-04,0.196285,0.185334,0.00668599,0.00431171
2018-05,0.28662,0.279949,0.00636434,0.00417708
2019-04,0.162277,0.155479,0.00887462,0.00614048
2020-05,0.110793,0.104598,0.0100038,0.0068865
2021-04,0.0897828,0.083632,0.00917544,0.00629324
2022-05,0.0917615,0.0854474,0.0101379,0.00662615
2023-06,0.0921339,0.0851367,0.0100471,0.00666227
2024-10,0.0773533,0.070549,0.0116372,0.00822907
2025-05,0.0770684,0.0699358,0.0109354,0.0078279
