dump,era,unknown,genuine_adj_0.0000,genuine_adj_0.0816,genuine_adj_0.2500,genuine_adj_0.5000
2013-20,Baseline,0.6123,0.0743,0.124284,0.227375,0.38045
2013-48,Baseline,0.5905,0.097,0.145204,0.244625,0.39225
2014-10,Baseline,0.6039,0.1043,0.153598,0.255275,0.40625
2014-15,Baseline,0.6138,0.0955,0.145606,0.24895,0.4024
2014-23,Baseline,0.5926,0.1096,0.157976,0.25775,0.4059
2014-35,Baseline,0.601,0.1024,0.151461,0.25265,0.4029
2014-41,Baseline,0.5986,0.1,0.148865,0.24965,0.3993
2014-42,Baseline,0.6098,0.0903,0.14008,0.24275,0.3952
2014-49,Baseline,0.6187,0.0842,0.134706,0.238875,0.39355
2014-52,Baseline,0.597,0.1002,0.148935,0.24945,0.3987
2015-06,Baseline,0.5974,0.091,0.139767,0.24035,0.3897
2015-11,Baseline,0.6076,0.0919,0.1415,0.2438,0.3957
2015-14,Baseline,0.6112,0.0889,0.138794,0.2417,0.3945
2015-18,Baseline,0.6032,0.0952,0.144441,0.246,0.3968
2015-22,Baseline,0.6073,0.0911,0.140676,0.242925,0.39475
2015-27,Baseline,0.6102,0.0906,0.140412,0.24315,0.3957
2015-32,Baseline,0.6098,0.091,0.14078,0.24345,0.3959
2015-35,Baseline,0.6102,0.0912,0.141012,0.24375,0.3963
2015-40,Baseline,0.6171,0.0904,0.140776,0.244675,0.39895
2015-48,Baseline,0.6085,0.0907,0.140373,0.242825,0.39495
2016-07,Answer-engine-SEO,0.6078,0.09,0.139616,0.24195,0.3939
2016-18,Answer-engine-SEO,0.6108,0.0892,0.139061,0.2419,0.3946
2016-22,Answer-engine-SEO,0.6163,0.0847,0.13501,0.238775,0.39285
2016-26,Answer-engine-SEO,0.6081,0.088,0.137641,0.240025,0.39205
2016-30,Answer-engine-SEO,0.6104,0.0895,0.139329,0.2421,0.3947
2016-36,Answer-engine-SEO,0.6157,0.0831,0.133361,0.237025,0.39095
2016-40,Answer-engine-SEO,0.6203,0.0745,0.125137,0.229575,0.38465
2016-44,Answer-engine-SEO,0.6024,0.1054,0.154576,0.256,0.4066
2016-50,Answer-engine-SEO,0.6139,0.0826,0.132714,0.236075,0.38955
2017-04,Answer-engine-SEO,0.6154,0.0813,0.131537,0.23515,0.389
2017-09,Answer-engine-SEO,0.6081,0.0713,0.120941,0.223325,0.37535
2017-13,Answer-engine-SEO,0.5829,0.0531,0.100684,0.198825,0.34455
2017-17,Answer-engine-SEO,0.5694,0.0459,0.0923816,0.18825,0.3306
2017-22,Answer-engine-SEO,0.5907,0.0393,0.0875204,0.186975,0.33465
