curve,rho_raw,rho_detrended,rho_firstdiff,raw_first_era,raw_last_era,raw_contrast,adj_first_era,adj_last_era,adj_contrast,raw_mk_p,raw_hr_p,resid_mk_p,resid_hr_p
intensity,0.701,0.179,-0.182,2.3745,2.7936,0.1765,2.5279,2.7013,0.0686,0.0,9.956e-05,9.274e-11,0.0134
dup_d2,0.708,0.404,0.659,0.1566,0.1827,0.1664,0.1782,0.1697,-0.0473,4.683e-12,0.01729,0.4953,0.8109
dup_d5,0.629,0.264,0.626,0.08,0.1031,0.2887,0.0943,0.0945,0.0023,2.165e-10,0.04663,0.05023,0.5057
dup_d10,0.578,0.237,0.646,0.0595,0.0789,0.3265,0.07,0.0726,0.0368,1.846e-09,0.06125,0.001569,0.3111
forum_host_allowlist,-0.759,-0.282,-0.3,0.0423,0.0109,-0.7426,0.0306,0.0179,-0.4146,0.0,0.002423,0.0002445,0.2058
forum_host_union,-0.768,-0.217,-0.33,0.0935,0.0196,-0.7901,0.0658,0.0363,-0.4485,0.0,0.001595,1.804e-05,0.1297
genuine-UGC,-0.768,-0.215,-0.33,0.0935,0.0194,-0.7923,0.0657,0.0361,-0.4504,0.0,0.001587,1.722e-05,0.1288
manufactured-template,0.713,0.384,0.657,0.1428,0.1798,0.259,0.168,0.1646,-0.0203,7.467e-13,0.02111,0.03977,0.4895
commerce-faq,0.659,-0.402,-0.119,0.0089,0.0179,1.0222,0.0112,0.0165,0.464,0.0,2.089e-09,1.357e-11,7.762e-05
unknown,0.462,-0.416,-0.307,0.606,0.7224,0.1919,0.6369,0.7038,0.105,0.0,6.733e-08,1.957e-10,0.0001317
top100_share,-0.822,-0.228,-0.547,0.117,0.0277,-0.7632,0.0809,0.0494,-0.389,0.0,0.0005933,3.509e-07,0.0173
faq_path_share,0.421,-0.013,-0.137,0.0065,0.0146,1.2608,0.0094,0.0128,0.364,3.775e-11,0.04211,3.962e-06,0.09484
mean_tokens,-0.766,-0.076,0.136,13.405,11.8454,-0.1163,12.9191,12.1379,-0.0605,0.0,1.858e-06,3.909e-11,0.001518
pct_scaffolded,-0.702,0.151,-0.046,0.0995,0.0612,-0.3854,0.0882,0.068,-0.2291,0.0,1.867e-06,6.354e-11,0.001393
self-contained,0.254,-0.101,-0.223,0.4976,0.5574,0.1202,0.5078,0.5513,0.0855,2.073e-05,0.204,0.007003,0.4039
context-dependent,-0.759,-0.077,-0.071,0.1402,0.0901,-0.3571,0.1238,0.1,-0.1924,0.0,0.0,9.868e-10,9.092e-06
conversational-fragment,0.183,0.148,0.265,0.3622,0.3525,-0.027,0.3684,0.3488,-0.0532,0.4953,0.8394,0.5875,0.8724
